Name,Sex,Event,Equipment,Age,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Tested,AgeClass,Country,Glossbrenner,Federation,Date,MeetCountry,MeetState,MeetName
Peter Butler,M,SBD,Raw,,M-CO,81.1,83,-170,-177.5,177.5,,177.5,135,-140,-140,,135,180,190,205,,205,517.5,4,350.3,350.3,Yes,Unknown,,338.3,EPA,27/01/2018,England,,South Midlands Open
Tom Murphy,M,SBD,Raw,,M-CO,79,83,155,-165,170,,170,105,115,122.5,,122.5,190,200,-210,,200,492.5,5,338.93,338.93,Yes,Unknown,,327.49,EPA,27/01/2018,England,,South Midlands Open
Mike Samuels,M,SBD,Raw,,M-CO,78.3,83,135,145,155,,155,105,115,125,,125,170,190,200,,200,480,6,332.24,332.24,Yes,Unknown,,321.09,EPA,27/01/2018,England,,South Midlands Open
Josh Browne,M,SBD,Raw,,M-CO,76.9,83,140,160,-175,,160,100,110,120,,120,160,180,192.5,,192.5,472.5,7,330.98,330.98,Yes,Unknown,,319.98,EPA,27/01/2018,England,,South Midlands Open
Robert Hardie,M,SBD,Raw,,M-CO,79.5,83,120,-125,130,,130,80,-82.5,82.5,,82.5,165,175,-182.5,,175,387.5,8,265.6,265.6,Yes,Unknown,,256.6,EPA,27/01/2018,England,,South Midlands Open
Hamayun Farooq,M,SBD,Raw,,M-CO,78.5,83,-125,125,-135,,125,75,85,-90,,85,150,155,-165,,155,365,9,252.22,252.22,Yes,Unknown,,243.74,EPA,27/01/2018,England,,South Midlands Open
Harvey Robinson,M,SBD,Single-ply,,M-EO,116.6,120,325,350,355,,355,250,260,265,,265,305,325,335,,335,955,1,552.91,552.91,Yes,Unknown,Wales,528.36,EPA,27/01/2018,England,,South Midlands Open
George Seeger,M,SBD,Single-ply,25.5,M-EO,99.6,105,210,-265,-285,,210,140,-190,190,,190,300,315,-325,,315,715,2,435.84,435.84,Yes,24-34,,418.93,EPA,27/01/2018,England,,South Midlands Open
Owen Hubbard,M,SBD,Raw,25.5,M-CO,86.1,93,255,267.5,-277.5,,267.5,200,210,215,,215,260,280,287.5,,287.5,770,1,503.28,503.28,Yes,24-34,,485.45,EPA,27/01/2018,England,,South Midlands Open
Dionis Gonzalez,M,SBD,Raw,,M-CO,90.7,93,-225,225,235,,235,150,155,-157.5,,155,262.5,-277.5,-277.5,,262.5,652.5,2,414.93,414.93,Yes,Unknown,,399.79,EPA,27/01/2018,England,,South Midlands Open
Joseph Watson,M,SBD,Raw,,M-CO,92.7,93,200,207.5,212.5,,212.5,155,160,165,,165,235,245,260,,260,637.5,3,401.09,401.09,Yes,Unknown,,386.26,EPA,27/01/2018,England,,South Midlands Open
Asad Bhatti,M,SBD,Raw,38.5,M-CO,92.3,93,210,-230,-230,,210,120,130,135,,135,235,-255,262.5,,262.5,607.5,4,383.01,383.01,Yes,35-39,,368.88,EPA,27/01/2018,England,,South Midlands Open
Jason Berrington,M,SBD,Raw,33.5,M-CO,93,93,-190,190,-200,,190,142.5,150,-155,,150,235,260,-272.5,,260,600,5,376.91,376.91,Yes,24-34,,362.95,EPA,27/01/2018,England,,South Midlands Open
Mark Cummins,M,SBD,Raw,,M-CO,91.2,93,175,190,-200,,190,130,145,-150,,145,230,240,255,,255,590,6,374.16,374.16,Yes,Unknown,,360.46,EPA,27/01/2018,England,,South Midlands Open
James Ranger,M,SBD,Raw,,M-CO,89.9,93,170,180,190,,190,-130,135,142.5,,142.5,180,200,220,,220,552.5,7,352.91,352.91,Yes,Unknown,,340.1,EPA,27/01/2018,England,,South Midlands Open
Gareth Ellis,M,SBD,Raw,,M-CO,91.3,93,180,187.5,-197.5,,187.5,105,110,-115,,110,200,212.5,220,,220,517.5,8,328,328,Yes,Unknown,,315.99,EPA,27/01/2018,England,,South Midlands Open
John Mahoney,M,SBD,Raw,,M-CO,90.2,93,157.5,-165,-165,,157.5,102.5,107.5,-112.5,,107.5,185,195,205,,205,470,9,299.71,299.71,Yes,Unknown,,288.81,EPA,27/01/2018,England,,South Midlands Open
Phillip Varcas,M,SBD,Raw,,M-CO,92.7,93,140,147.5,152.5,,152.5,115,-120,-120,,115,170,180,-185,,180,447.5,1,281.55,281.55,Yes,Unknown,,271.14,EPA,27/01/2018,England,,South Midlands Open
Bartosz Lesniewski,M,SBD,Raw,,M-CO,89.2,93,120,127.5,135,,135,90,95,,,95,160,170,-180,,170,400,1,256.53,256.53,Yes,Unknown,,247.26,EPA,27/01/2018,England,,South Midlands Open
Edward Crossley,M,SBD,Raw,,M-CO,91.3,93,-120,130,140,,140,95,110,-115,,110,-140,140,150,,150,400,1,253.53,253.53,Yes,Unknown,,244.24,EPA,27/01/2018,England,,South Midlands Open
Edward Crowe,M,SBD,Raw,,M-CO,84.3,93,-160,-160,-160,,,115,-122.5,127.5,,127.5,170,180,190,,190,,DQ,,,Yes,Unknown,,,EPA,27/01/2018,England,,South Midlands Open
Will Knowland,M,SBD,Raw,,M-CO,104.5,105,235,-252.5,252.5,,252.5,167.5,177.5,-181,,177.5,-242.5,242.5,272.5,,272.5,702.5,1,420.49,420.49,Yes,Unknown,,403.55,EPA,27/01/2018,England,,South Midlands Open
Sam Watkins,M,SBD,Raw,,M-CO,97.9,105,210,225,235,,235,142.5,147.5,150,,150,210,225,-240,,225,610,2,374.49,374.49,Yes,Unknown,,360.13,EPA,27/01/2018,England,,South Midlands Open
Gary Allen,M,SBD,Raw,,M-CO,93.7,105,195,-202.5,202.5,,202.5,130,-135,-135,,130,220,-235,235,,235,567.5,3,355.24,355.24,Yes,Unknown,,342.02,EPA,27/01/2018,England,,South Midlands Open
Kit Man Li,M,SBD,Raw,,M-CO,96.3,105,190,-205,205,,205,100,110,-115,,110,190,205,215,,215,530,4,327.69,327.69,Yes,Unknown,,315.27,EPA,27/01/2018,England,,South Midlands Open
Jack Stephens,M,SBD,Raw,,M-CO,110.6,120,-235,235,-245,,235,-145,145,-150,,145,245,255,260,,260,640,1,376.01,376.01,Yes,Unknown,,360.12,EPA,27/01/2018,England,,South Midlands Open
Graham Lay,M,SBD,Raw,,M-CO,114.5,120,190,200,205,,205,-130,132.5,-140,,132.5,220,-232.5,-232.5,,220,557.5,2,324.31,324.31,Yes,Unknown,,310.16,EPA,27/01/2018,England,,South Midlands Open
James Howl-Newton,M,SBD,Raw,,M-CO,110.5,120,135,145,155,,155,90,100,-107.5,,100,180,190,-200,,190,445,3,261.52,261.52,Yes,Unknown,,250.47,EPA,27/01/2018,England,,South Midlands Open
Martin McConville,M,SBD,Raw,,M-CO,106.8,120,135,145,-152.5,,145,95,100,102.5,,102.5,160,170,177.5,,177.5,425,4,252.49,252.49,Yes,Unknown,,242.13,EPA,27/01/2018,England,,South Midlands Open
Tom Kelly,M,SBD,Raw,,M-CO,166.6,120,230,,,,230,-180,180,,,180,240,260,,,260,670,1,365.06,365.06,Yes,Unknown,Ireland,342.55,EPA,27/01/2018,England,,South Midlands Open
Franka Ransome,F,SBD,Raw,,F-CO,72,72,95,105,110,,110,47.5,50,52.5,,52.5,120,125,130,,130,292.5,1,285.49,285.49,Yes,Unknown,,251.47,EPA,27/01/2018,England,,South Midlands Open
Kelle Hopkins,F,SBD,Raw,,F-CO,69.7,72,95,100,-105,,100,52.5,-57.5,57.5,,57.5,117.5,125,-132.5,,125,282.5,2,281.88,281.88,Yes,Unknown,,248.5,EPA,27/01/2018,England,,South Midlands Open
Yvonne McCall,F,SBD,Raw,,F-CO,69.9,72,90,95,-97.5,,95,55,-57.5,57.5,,57.5,112.5,120,122.5,,122.5,275,3,273.85,273.85,Yes,Unknown,,241.4,EPA,27/01/2018,England,,South Midlands Open
Lily Erskine,F,SBD,Raw,21.5,F-CO,64.9,72,87.5,95,100,,100,42.5,47.5,50,,50,100,107.5,,,107.5,257.5,4,270.45,275.86,Yes,20-23,,238.72,EPA,27/01/2018,England,,South Midlands Open
Debbie Cornish,F,SBD,Raw,,F-CO,71.8,72,62.5,70,77.5,,77.5,40,50,-52.5,,50,90,105,120,,120,247.5,5,242.02,242.02,Yes,Unknown,,213.2,EPA,27/01/2018,England,,South Midlands Open
Megan Batchelor,F,SBD,Raw,,F-CO,83.4,84,122.5,132.5,-137.5,,132.5,85,90.5,92.5,,92.5,145,155,162.5,,162.5,387.5,1,346.8,346.8,Yes,Unknown,,303.34,EPA,27/01/2018,England,,South Midlands Open
Lucy Hyde,F,SBD,Raw,,F-CO,81.5,84,87.5,95,102.5,,102.5,70,75,77.5,,77.5,120,132.5,142.5,,142.5,322.5,2,292.11,292.11,Yes,Unknown,,255.9,EPA,27/01/2018,England,,South Midlands Open
Josefine Nilsson,F,SBD,Raw,,F-CO,77.4,84,100,110,-117.5,,110,57.5,62.5,-67.5,,62.5,100,110,115,,115,287.5,3,268.11,268.11,Yes,Unknown,,235.53,EPA,27/01/2018,England,,South Midlands Open
Louise Webster,F,SBD,Raw,,F-CO,80.3,84,80,-85,-85,,80,50,55,-60,,55,110,120,130,,130,265,4,241.97,241.97,Yes,Unknown,,212.16,EPA,27/01/2018,England,,South Midlands Open
Karen Houghton,F,SBD,Raw,,F-CO,80.6,84,105,-112.5,-112.5,,105,,,,,,,,,,,,DQ,,,Yes,Unknown,,,EPA,27/01/2018,England,,South Midlands Open
Scarlett Sotiris,F,SBD,Raw,,F-CO,90.9,84,130,140,150,,150,70,75,-80,,75,165,180,190,,190,415,1,357.13,357.13,Yes,Unknown,,310.12,EPA,27/01/2018,England,,South Midlands Open
Lisa Styles,F,SBD,Raw,39.5,F-CO,105.1,84,-140,-140,140,,140,70,77.5,-80,,77.5,180,190,-195,,190,407.5,2,334.78,334.78,Yes,Unknown,,285.72,EPA,27/01/2018,England,,South Midlands Open
Nicola Stimpson,F,SBD,Raw,,F-CO,93.9,84,160,-172.5,-172.5,,160,60,67.5,-70,,67.5,155,162.5,-167.5,,162.5,390,3,331.47,331.47,Yes,Unknown,,286.87,EPA,27/01/2018,England,,South Midlands Open
Sam Foulds,F,SBD,Raw,,F-CO,112.5,84,130,140,150,,150,-80,80,87.5,,87.5,130,140,-150,,140,377.5,4,305.52,305.52,Yes,Unknown,,259.8,EPA,27/01/2018,England,,South Midlands Open
Elizabeth Morrissey,F,SBD,Raw,,F-CO,90.4,84,127.5,130,132.5,,132.5,62.5,65,67.5,,67.5,130,135,140,,140,340,5,293.25,293.25,Yes,Unknown,,254.78,EPA,27/01/2018,England,,South Midlands Open
Kelly-Marie Edwards,F,SBD,Raw,,F-CO,124.4,84,117.5,-130,-140,,117.5,60,-67.5,-67.5,,60,142.5,147.5,155,,155,332.5,6,264.2,264.2,Yes,Unknown,,223.43,EPA,27/01/2018,England,,South Midlands Open
Sophie McConville,F,SBD,Raw,,F-CO,100.3,84,85,92.5,-100,,92.5,52.5,-57.5,57.5,,57.5,115,122.5,-130,,122.5,272.5,7,226.68,226.68,Yes,Unknown,,194.66,EPA,27/01/2018,England,,South Midlands Open
Ogheneyoma Toweh,F,SBD,Raw,,F-CO,95,84,100,120,135,,135,40,47.5,55,,55,100,122.5,135,,135,325,G,275.08,275.08,Yes,Unknown,,237.77,EPA,27/01/2018,England,,South Midlands Open
Peter Schreiber,M,SBD,Single-ply,,M-EO,127.2,120,,,,,,-160,-160,-160,,,,,,,,,DQ,,,Yes,Unknown,,,EPA,27/01/2018,England,,South Midlands Open
Sean Maloney,M,SBD,Raw,,M-C-Open,65.8,66,140,150,-157.5,,150,95,100,102.5,,102.5,175,185,,,185,437.5,1,344.38,344.38,Yes,Unknown,,334.32,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Tom Hitchcock-Wyatt,M,SBD,Raw,,M-C-Open,61.9,66,157.5,167.5,-170,,167.5,85,87.5,90,,90,140,147.5,155,,155,412.5,2,342.1,342.1,Yes,Unknown,,332.87,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Josh Burton,M,SBD,Raw,,M-C-Open,72.1,74,175,185,-195,,185,-117.5,125,130,,130,205,217.5,227.5,,227.5,542.5,1,397.63,397.63,Yes,Unknown,,384.99,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Chris Creedy,M,SBD,Raw,,M-C-Open,71.3,74,150,160,-165,,160,97.5,100,-102.5,,100,180,192.5,202.5,,202.5,462.5,2,341.81,341.81,Yes,Unknown,,331.03,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Wassim Arsalani,M,SBD,Raw,,M-C-Open,81.4,83,195,202.5,-207.5,,202.5,-135,-140,140,,140,220,-230,230,,230,572.5,1,386.65,386.65,Yes,Unknown,,373.38,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Mathew Gaynor,M,SBD,Raw,,M-C-Open,81.9,83,165,180,185,,185,120,127.5,-130,,127.5,190,200,212.5,,212.5,525,2,353.25,353.25,Yes,Unknown,,341.08,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Mehrdad Saghi,M,SBD,Raw,,M-C-Open,81.8,83,180,195,-205,,195,-100,110,120,,120,180,190,200,,200,515,3,346.78,346.78,Yes,Unknown,,334.84,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Neil Butler,M,SBD,Raw,52.5,M-C-Open,81.5,83,150,160,-162.5,,160,95,100,-107.5,,100,190,200,205,,205,465,4,313.81,365.59,Yes,50-54,,303.03,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Ali Wilson,M,SBD,Raw,,M-C-Open,80.3,83,120,130,140,,140,100,105,110,,110,180,190,200,,200,450,5,306.49,306.49,Yes,Unknown,,296.05,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Thomas Watts,M,SBD,Raw,,M-C-Open,79.9,83,-140,-140,140,,140,105,112.5,120,,120,155,160,-170,,160,420,6,286.96,286.96,Yes,Unknown,,277.21,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Sean Hudson,M,SBD,Raw,,M-C-Open,79.2,83,135,-140,140,,140,80,85,87.5,,87.5,145,155,167.5,,167.5,395,7,271.39,271.39,Yes,Unknown,,262.22,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Tony Whiteman,M,SBD,Raw,,M-C-Open,82.2,83,130,135,,,135,80,82.5,-85,,82.5,165,172.5,,,172.5,390,8,261.84,261.84,Yes,Unknown,,252.8,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Oliver Hamer,M,SBD,Raw,,M-C-Open,81.2,83,110,-125,-125,,110,75,82.5,-87.5,,82.5,135,142.5,150,,150,342.5,9,231.67,231.67,Yes,Unknown,,223.72,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Hugo Duarte,M,SBD,Raw,27,M-C-Open,92.4,93,-240,240,250,,250,140,-150,-150,,140,260,275,290,,290,680,1,428.49,428.49,Yes,24-34,UK,412.68,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Mark Golding,M,SBD,Raw,,M-C-Open,89.7,93,225,240,250,,250,147.5,157.5,-165,,157.5,230,250,-262.5,,250,657.5,2,420.46,420.46,Yes,Unknown,,405.22,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Lewis Jones,M,SBD,Raw,,M-C-Open,88.5,93,190,202.5,212.5,,212.5,152.5,166,172.5,,172.5,235,255,265,,265,650,3,418.58,418.58,Yes,Unknown,,403.52,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Justin White,M,SBD,Raw,,M-C-Open,87.8,93,192.5,205,215,,215,115,122.5,130,,130,-260,277.5,-300,,277.5,622.5,4,402.56,402.56,Yes,Unknown,USA,388.14,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Joshua Freem,M,SBD,Raw,,M-C-Open,92.1,93,200,210,220,,220,120,127.5,132.5,,132.5,-230,250,-260,,250,602.5,5,380.25,380.25,Yes,Unknown,,366.25,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Oliver Butler,M,SBD,Raw,,M-C-Open,91.2,93,205,215,225,,225,125,135,140,,140,-220,220,235,,235,600,6,380.5,380.5,Yes,Unknown,,366.57,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Jack Anslow,M,SBD,Raw,,M-C-Open,90,93,180,192.5,200,,200,135,145,-150,,145,225,-240,-240,,225,570,7,363.88,363.88,Yes,Unknown,,350.67,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Jamie Calver,M,SBD,Raw,,M-C-Open,90.9,93,185,205,212.5,,212.5,-105,117.5,-125,,117.5,200,217.5,225,,225,555,8,352.54,352.54,Yes,Unknown,,339.66,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Tom Malone,M,SBD,Raw,,M-C-Open,87.4,93,190,202.5,210,,210,-107.5,115,120,,120,195,-207.5,220,,220,550,9,356.55,356.55,Yes,Unknown,,343.81,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Charles Pritchard,M,SBD,Raw,,M-C-Open,92.4,93,167.5,177.5,185,,185,125,132.5,-137.5,,132.5,210,222.5,230,,230,547.5,10,345,345,Yes,Unknown,,332.27,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Thomas Stoneman,M,SBD,Raw,,M-C-Open,90.7,93,-175,175,185,,185,125,132.5,137.5,,137.5,185,200,210,,210,532.5,11,338.62,338.62,Yes,Unknown,,326.26,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Stephen Forster,M,SBD,Raw,,M-C-Open,86.6,93,170,180,185,,185,120,-127.5,127.5,,127.5,180,200,210,,210,522.5,12,340.42,340.42,Yes,Unknown,,328.32,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
James Gissane,M,SBD,Raw,,M-C-Open,86.4,93,150,160,170,,170,110,120,-130,,120,215,225,-240,,225,515,13,335.96,335.96,Yes,Unknown,,324.04,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Nuno Lima,M,SBD,Raw,,M-C-Open,92.5,93,150,165,-170,,165,95,102.5,105,,105,180,200,205,,205,475,14,299.16,299.16,Yes,Unknown,,288.11,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Saleem Painchun,M,SBD,Raw,,M-C-Open,83.7,93,150,-160,170,,170,90,100,-105,,100,160,170,182.5,,182.5,452.5,15,300.55,300.55,Yes,Unknown,,290.07,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Charlie Wade,M,SBD,Raw,24.5,M-C-Open,104.9,105,245,260,272.5,,272.5,170,-177.5,177.5,,177.5,260,280,-290,,280,730,1,436.36,436.36,Yes,24-34,UK,418.73,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
James Blundell,M,SBD,Raw,,M-C-Open,96.1,105,230,242.5,-252.5,,242.5,160,170,-177.5,,170,260,280,-300,,280,692.5,2,428.55,428.55,Yes,Unknown,,412.33,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Aaron Cooper #1,M,SBD,Raw,,M-C-Open,104.7,105,235,247.5,260,,260,145,152.5,157.5,,157.5,245,260,272.5,,272.5,690,3,412.73,412.73,Yes,Unknown,,396.08,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Thomas Blakey,M,SBD,Raw,,M-C-Open,101.7,105,230,237.5,245,,245,130,140,145,,145,230,240,250,,250,640,4,386.94,386.94,Yes,Unknown,,371.68,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Luke Huggins,M,SBD,Raw,,M-C-Open,103.1,105,200,-215,225,,225,125,132.5,140,,140,230,242.5,252.5,,252.5,617.5,5,371.42,371.42,Yes,Unknown,,356.62,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Jack Pryse-Davies,M,SBD,Raw,,M-C-Open,103.3,105,190,200,207.5,,207.5,140,145,150,,150,220,235,242.5,,242.5,600,6,360.64,360.64,Yes,Unknown,,346.25,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Tibor Mata,M,SBD,Raw,51.5,M-C-Open,102.5,105,180,200,-210,,200,145,157.5,165,,165,180,210,225,,225,590,7,355.65,407.93,Yes,50-54,,341.55,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Kent Ng,M,SBD,Raw,,M-C-Open,95,105,205,215,-220,,215,120,130,135,,135,210,225,-235,,225,575,8,357.67,357.67,Yes,Unknown,,344.23,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Steven Martin,M,SBD,Raw,46.5,M-C-Open,101.5,105,165,175,182.5,,182.5,110,117.5,125,,125,-220,235,-250,,235,542.5,9,328.24,350.56,Yes,45-49,,315.32,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Adam Scrivener,M,SBD,Raw,,M-C-Open,95,105,165,170,175,,175,120,125,-127.5,,125,220,230,235,,235,535,10,332.79,332.79,Yes,Unknown,,320.28,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Nathan Etheridge,M,SBD,Raw,,M-C-Open,102.9,105,175,185,195,,195,130,137.5,-140,,137.5,180,200,-212.5,,200,532.5,11,320.53,320.53,Yes,Unknown,,307.77,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Jordan Blaikie,M,SBD,Raw,,M-C-Open,100.4,105,180,190,200,,200,-110,110,,,110,200,220,-240,,220,530,12,322.04,322.04,Yes,Unknown,,309.47,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Justin Green,M,SBD,Raw,,M-C-Open,96.8,105,160,170,180,,180,100,107.5,112.5,,112.5,200,210,220,,220,512.5,13,316.15,316.15,Yes,Unknown,,304.13,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Charles Pryke,M,SBD,Raw,,M-C-Open,100.9,105,160,-170,170,,170,95,102.5,-110,,102.5,160,170,177.5,,177.5,450,14,272.9,272.9,Yes,Unknown,,262.2,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Graham Luck,M,SBD,Raw,,M-C-Open,104.6,105,145,-152.5,-152.5,,145,110,-115,-115,,110,170,177.5,185,,185,440,15,263.28,263.28,Yes,Unknown,,252.67,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Tom Cornwell,M,SBD,Raw,,M-C-Open,101.3,105,140,145,-150,,145,90,97.5,102.5,,102.5,152.5,162.5,170,,170,417.5,16,252.8,252.8,Yes,Unknown,,242.86,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Jake King,M,SBD,Raw,,M-C-Open,97.4,105,115,125,135,,135,80,87.5,92.5,,92.5,130,152.5,-160,,152.5,380,17,233.79,233.79,Yes,Unknown,,224.86,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Frankie Park,M,SBD,Raw,,M-C-Open,118.8,120,272.5,290,300,,300,160,170,-175,,170,260,272.5,-282.5,,272.5,742.5,1,427.89,427.89,Yes,Unknown,,408.55,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Fred Vassie,M,SBD,Raw,,M-C-Open,117.5,120,-205,210,215,,215,140,150,-155,,150,220,240,250,,250,615,2,355.37,355.37,Yes,Unknown,,339.48,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Richard Griffiths,M,SBD,Raw,,M-C-Open,106.4,120,200,210,-217.5,,210,125,132.5,-137.5,,132.5,235,-250,,,235,577.5,G,343.52,343.52,Yes,Unknown,,329.47,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Michael Dennis,M,SBD,Raw,,M-C-Open,151.9,120,220,240,-255,,240,140,-150,150,,150,230,250,-260,,250,640,1,353.48,353.48,Yes,Unknown,,333.84,EPA,28/01/2018,England,,East Midlands Men's Open Powerlifting Championships
Darlene Williams,F,SBD,Wraps,42,F-OR,88.1,90,107.5,-115,-117.5,,107.5,47.5,52.5,55,,55,120,130,140,,140,302.5,6,263.78,269.05,No,40-44,Australia,229.73,GPC-AUS,21/01/2018,Australia,QLD,Gold Coast Nationals Qualifier
Abbie Ohl,F,SBD,Wraps,24,F-OR,67.5,67.5,135,142.5,147.5,,147.5,60,-65,-65,,60,142.5,-150,150,,150,357.5,5,364.87,364.87,No,24-34,,321.87,GPC-AUS,21/01/2018,Australia,QLD,Gold Coast Nationals Qualifier
Shea Baker,F,SBD,Wraps,28,F-OR,59.5,60,130,140,-145,,140,80,87.5,-90,,87.5,140,150,160,,160,387.5,2,434.83,434.83,No,24-34,Australia,384.24,GPC-AUS,21/01/2018,Australia,QLD,Gold Coast Nationals Qualifier
Rachael Savage,F,SBD,Wraps,26,F-OR,52,52,120,130,140,,140,55,60,65,,65,150,160,-165,,160,365,1,455.02,455.02,No,24-34,,403.34,GPC-AUS,21/01/2018,Australia,QLD,Gold Coast Nationals Qualifier
Brooke Kowalczyk,F,SBD,Wraps,36,F-OR,77.9,82.5,165,175,180,,180,-87.5,92.5,-95,,92.5,160,170,-180,,170,442.5,3,411.09,411.09,No,35-39,,361.02,GPC-AUS,21/01/2018,Australia,QLD,Gold Coast Nationals Qualifier
Tamika Norris,F,SBD,Wraps,21,F-OR,84.5,90,165,175,180,,180,72.5,-82.5,82.5,,82.5,165,175,-182.5,,175,437.5,4,388.99,396.77,No,20-23,,339.92,GPC-AUS,21/01/2018,Australia,QLD,Gold Coast Nationals Qualifier
Paul James,M,SBD,Wraps,44,M-OR,88.2,90,160,170,180,,180,80,90,100,,100,160,180,200,,200,480,5,309.66,322.97,No,40-44,,298.54,GPC-AUS,21/01/2018,Australia,QLD,Gold Coast Nationals Qualifier
Cyll Duncan,M,SBD,Wraps,41,M-OR,89,90,140,150,160,,160,90,97.5,102.5,,102.5,180,195,202.5,,202.5,465,6,298.56,301.55,No,40-44,,287.79,GPC-AUS,21/01/2018,Australia,QLD,Gold Coast Nationals Qualifier
Michael Buda,M,SBD,Wraps,36,M-OR,92.2,100,130,140,150,,150,90,97.5,-102.5,,97.5,180,195,205,,205,452.5,8,285.43,285.43,No,35-39,,274.91,GPC-AUS,21/01/2018,Australia,QLD,Gold Coast Nationals Qualifier
Michael Adams,M,SBD,Wraps,25,M-OR,81.2,82.5,190,210,220,,220,107.5,115,-120,,115,210,225,232.5,,232.5,567.5,3,383.86,383.86,No,24-34,UK,370.69,GPC-AUS,21/01/2018,Australia,QLD,Gold Coast Nationals Qualifier
Jonny Nelson,M,SBD,Wraps,35,M-OR,103.2,110,235,-250,-250,,235,122.5,130,-135,,130,235,255,-260,,255,620,4,372.79,372.79,No,35-39,Australia,357.93,GPC-AUS,21/01/2018,Australia,QLD,Gold Coast Nationals Qualifier
Ed Burton,M,SBD,Wraps,38,M-OR,109.2,110,285,305,315,,315,185,195,-202.5,,195,285,300,-310,,300,810,1,477.76,477.76,No,35-39,,457.79,GPC-AUS,21/01/2018,Australia,QLD,Gold Coast Nationals Qualifier
Nick Weir,M,SBD,Wraps,23,M-OR,106.6,110,245,265,275,,275,165,175,180,,180,285,300,310,,310,765,2,454.76,454.76,No,20-23,,436.14,GPC-AUS,21/01/2018,Australia,QLD,Gold Coast Nationals Qualifier
Peter Baskerville,M,SBD,Wraps,63,M-OR,98.1,100,165,180,-185,,180,80,85,90,,90,200,210,,,210,480,7,294.43,418.38,No,60-64,Australia,283.12,GPC-AUS,21/01/2018,Australia,QLD,Gold Coast Nationals Qualifier
